Experiment Name	Sample ID	Region	Protocol	Gene Panel	RIN	BICAN Experiment ID	MERFISH Experiment ID	Experiment Start Date	MERFISH Cells #	Median Transcripts per Cell	Median Gene per Cell	Mean tranx/FOV from Instrument	Counts/FOV adjusted to match M1	Instrument	BIL Path	Experiment Notes	Imaging Duration (hrs)	Analysis duration (hrs)	Tranfer to NAS duration (hrs)	Total Size of Exp (TB)	Data Location				for formatting (can ignore)
202405211218_HumanBrain-FF-UCSD-CP1403-PU-RC_VMSC03501_new	UWA.7648.CX22.Pu	Pu	v1 FFPE+FF	500 CP1403	7.0	VIZ001	V001	5/21/2024	39,004	92	58	18,431	18,431	N/A	/bil/lz/boonee/f7dfeadb26016253	47C 30min hot fixation and FFPE sample prep protocol					merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				25
202405211220_HuBrain-FF-UCSD-CP1403-A46-RC_VMSC00701_new	UWA.7648.CX10.A46	A46	v1 FFPE+FF	500 CP1403	7.7	VIZ002	V002	5/21/2024	39,168	454	150	35,494	35,494	N/A	/bil/lz/boonee/f7dfeadb26016253	47C 30min hot fixation and FFPE sample prep protocol					merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				26
202408312252_240827JHCX100204E4-UCSD-CX10-C2P1403-LH_VMSC12502	UWA.7648.CX10.A46	A46	v2 FF	500 C2P1403	7.7	VIZ003	V003	9/1/2024	46,805	563	168	55,561	55,561	N/A	/bil/lz/boonee/f7dfeadb26016253	47C Fixation, v2 C2P1403, 1X, clearing solution 2hrs					merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				27
202409091924_240904JHCX220206G8-HuBrain-CX22-37C-LH_VMSC12502	UWA.7648.CX22.Pu	Pu	v2 FF	500 C2P1403	7.0	VIZ004	V004	9/9/2024	47,320	111	65	29,628	29,628	N/A	/bil/lz/boonee/f7dfeadb26016253	37C hot fixation for 1hr, v2 C2P1403, Slide 1					merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				28
202409111637_240904JHCX22021L4G--HuBrain-CX22-LH_VMSC11802	UWA.7648.CX22.Pu	Pu	v2 FF	500 C2P1403	7.0	VIZ005	V005	9/11/2024	38,465	141	77	28,422	28,422	N/A	/bil/lz/boonee/f7dfeadb26016253	47C Fixation, C2P1403, clearing 2 days, Slide 2					merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				29
202409291800_240925JHUWA0172DP-BICAN-CX23-V2-LH_VMSC12502	UWA.7648.CX23.THM.01	THM	v2 FF	500 C2P1403	7.1	VIZ006	V006	9/29/2024	60,075	218	102	33,918	33,918	N/A	/bil/lz/boonee/f7dfeadb26016253	47C Fixation, C2P1403 1st copy					merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				30
202409301818_240925JHUWA018E74-BICAN-CX23-V2-LH_VMSC12502	UWA.7648.CX23.THM.01	THM	v2 FF	500 C2P1403	7.1	VIZ007	V007	9/30/2024	57,662	251	112	35,905	35,905	N/A	/bil/lz/boonee/f7dfeadb26016253	47C Fixation, C2P1403 2nd copy, in clearing solution for 2 days.					merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				31
202411231816_241118JHCX2303EK3-BICAN-VS262-2006-LH_VMSC18710/region1	UWA.7648.CX10.A46	A46	v2	1000 D2M2006	7.7	VIZ008	V008	11/18/24	44,404	176	84	77,345	39,462	VizgenUltra	/bil/lz/boonee/f7dfeadb26016253		40	33			merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				32
202411231816_241118JHCX2303EK3-BICAN-VS262-2006-LH_VMSC18710/region2	UWA.7648.CX22.Pu	Pu	v2	1000 D2M2006	7.0	VIZ008	V008	11/18/24	32,393	53	18	40,202	20,511	VizgenUltra	/bil/lz/boonee/f7dfeadb26016253		40	33			merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				32
202411231816_241118JHCX2303EK3-BICAN-VS262-2006-LH_VMSC18710/region3	UWA.7648.CX23.THM.01	THM	v2	1000 D2M2006	7.1	VIZ008	V008	11/18/24	49,499	113	71	59,786	30,503	VizgenUltra	/bil/lz/boonee/f7dfeadb26016253		40	33			merfish15/volume1/Public/MERSCOPE/vizgen_MERSCOPE				32
20250228M189BICANRen24	UWA.7648.CX17.Pu	Pu	v2	1000 D2M2006	7.5	REN024	M189	2/24/2025	28,527	85	57	22,749	11,606	WatermelonUltra		Ecker Lab Slide 1, Ren24 was gel-embedded twice (by Salk) due to small bubble formation during post-enhancer hyb wash on this donor	41	39	12	5.735	merfish16				33
20250228M189BICANRen24	UCI.4723.CX19.Pu	Pu	v2	1000 D2M2006	6.4	REN024	M189	2/24/2025	40,398	18	15	6,650	3,393	WatermelonUltra		Ecker Lab Slide 1	41	39	12	5.735	merfish16				33
20250228M189BICANRen24	UCI.2424.CX12.Pu	Pu	v2	1000 D2M2006	6.6	REN024	M189	2/24/2025	27,803	71	50	18,979	9,683	WatermelonUltra		Ecker Lab Slide 1	41	39	12	5.735	merfish16				33
20250228M189BICANRen24	UCI.5224.CX15.Pu	Pu	v2	1000 D2M2006	8.2	REN024	M189	2/24/2025	48,354	206	110	52,698	26,887	WatermelonUltra		Ecker Lab Slide 1	41	39	12	5.735	merfish16				33
20250330M190BICANRen25	UWA.7648.CX07.A9	A9	v2	1000 D2M2006	7.8	REN025	M190	3/26/2025	40,347	163	102	53,538	27,315	HoneydewUltra	/bil/lz/boonee/b85d5fb2bbbad2dc	REN025 had issue where analysis was very slow, leading to extremely long Transfer to NAS duration, but it was a normal experiment in general	48	167	239	4.4	HoneydewUltra, merfish14				34
20250330M190BICANRen25	UCI.4723.CX06.A9	A9	v2	1000 D2M2006	7.4	REN025	M190	3/26/2025	39,803	68	51	25,946	13,238	HoneydewUltra	/bil/lz/boonee/b85d5fb2bbbad2dc		48	167	239	4.4	HoneydewUltra, merfish14				34
20250330M190BICANRen25	UCI.2424.CX09.A9	A9	v2	1000 D2M2006	6.3	REN025	M190	3/26/2025	43,691	113	77	35,298	18,009	HoneydewUltra	/bil/lz/boonee/b85d5fb2bbbad2dc		48	167	239	4.4	HoneydewUltra, merfish14				34
20250330M190BICANRen25	UCI.5224.CX09.A9	A9	v2	1000 D2M2006	7.6	REN025	M190	3/26/2025	38,908	224	125	50,845	25,941	HoneydewUltra	/bil/lz/boonee/b85d5fb2bbbad2dc		48	167	239	4.4	HoneydewUltra, merfish14				34
20250412M192BICANRen26	UWA.7648.CX07.A9	A9	v2	1000 D2M2006	7.8	REN026	M192	4/8/2025	30,149	45	35	12,179	6,214	WatermelonUltra	/bil/lz/boonee/b85d5fb2bbbad2dc	Repeat of REN025 (A9)	40	78	43	5.02	WatermelonUltra, merfish16				35
20250412M192BICANRen26	UCI.4723.CX06.A9	A9	v2	1000 D2M2006	7.4	REN026	M192	4/8/2025	23,401	92	62	23,184	11,829	WatermelonUltra	/bil/lz/boonee/b85d5fb2bbbad2dc	Y:\MERSCOPE\output\202504121045_20250412M192BICANRen26_VMSC32110\region_UCI2424A9E03	40	78	43	5.02	WatermelonUltra, merfish16				35
