Experiment Name	Sample ID	Region	Protocol	Gene Panel	RIN	BICAN Experiment ID	MERFISH Experiment ID	Experiment Start Date	MERFISH Cells #	Median Transcripts per Cell	Median Gene per Cell	Mean tranx/FOV from Instrument	Counts/FOV adjusted to match M1	Instrument	BIL Path	Experiment Notes	Imaging Duration (hrs)	Analysis duration (hrs)	Tranfer to NAS duration (hrs)	Total Size of Exp (TB)	Data Location				for formatting (can ignore)
20250622M206BICANRen37	UCI.2424.CX15.GP	GP	v2	1000 D2P2238	6.6	REN037	M206	6/11/2025	33,174	77	49	30,122	15,368	HoneydewUltra	/bil/lz/boonee/6b90ecebc2289f34						HoneydewUltra				46
20250622M206BICANRen37	UCI.5224.CX17.GP	GP	v2	1000 D2P2238	7.4	REN037	M206	6/11/2025	33,098	165	89	37,567	19,167	HoneydewUltra	/bil/lz/boonee/6b90ecebc2289f34						HoneydewUltra				46
20250622M207BICANRen38	UWA.7648.CX19.CaB	CaB	v2	1000 D2P2238	7.8	REN038	M207	6/12/2025	55,325	68	48	27,576	14,069	WatermelonUltra	/bil/lz/boonee/380318ddbb927d4c	Camera/low res mosaic looked weird?					WatermelonUltra				47
20250622M207BICANRen38	UCI.4723.CX15.CaB	CaB	v2	1000 D2P2238	7.2	REN038	M207	6/12/2025	20,036	135	81	28,930	14,760	WatermelonUltra	/bil/lz/boonee/380318ddbb927d4c						WatermelonUltra				47
20250622M207BICANRen38	UCI.2424.CX15.CaB	CaB	v2	1000 D2P2238	8.0	REN038	M207	6/12/2025	29,468	60	43	17,899	9,132	WatermelonUltra	/bil/lz/boonee/380318ddbb927d4c						WatermelonUltra				47
20250622M207BICANRen38	UCI.5224.CX16.CaB	CaB	v2	1000 D2P2238	7.8	REN038	M207	6/12/2025	37,237	166	94	38,912	19,853	WatermelonUltra	/bil/lz/boonee/380318ddbb927d4c						WatermelonUltra				47
20250627M208BICANRen39	UWA.7648.BS01.MGM.01	MGM	v2	1000 D2P2238	7.8	REN039	M208	6/16/2025	20,293	133	79	22,703	11,583	HoneydewUltra	/bil/lz/boonee/390b7e6bf0b684e2						HoneydewUltra				48
20250627M208BICANRen39	UCI.4723.BS01.MGM.01	MGM	v2	1000 D2P2238	6.1	REN039	M208	6/16/2025	40,056	64	45	24,265	12,380	HoneydewUltra	/bil/lz/boonee/390b7e6bf0b684e2						HoneydewUltra				48
20250627M208BICANRen39	UCI.2424.BS01.MGM.01	MGM	v2	1000 D2P2238	5.6	REN039	M208	6/16/2025	29,227	62	45	19,618	10,009	HoneydewUltra	/bil/lz/boonee/390b7e6bf0b684e2						HoneydewUltra				48
20250627M208BICANRen39	UCI.5224.BS02.MGM.01	MGM	v2	1000 D2P2238	7.2	REN039	M208	6/16/2025	31,123	108	72	33,733	17,211	HoneydewUltra	/bil/lz/boonee/390b7e6bf0b684e2						HoneydewUltra				48
20250630M210BICANRen40	UWA.7648.CX18.NAC	NAC	v2	1000 D2P2238	8.0	REN040	M210	6/17/2025	25573	263	139	35,727	18,228	HoneydewUltra	/bil/lz/boonee/fd9d4ef7f3ef3426						HoneydewUltra				49
20250630M210BICANRen40	UCI.4723CX14.NAC	NAC	v2	1000 D2P2238	4.8	REN040	M210	6/17/2025	44695	58	41	20,775	10,600	HoneydewUltra	/bil/lz/boonee/fd9d4ef7f3ef3426						HoneydewUltra				49
20250630M210BICANRen40	UCI.2424.CX12.NAC	NAC	v2	1000 D2P2238	7.1	REN040	M210	6/17/2025	30955	236	127	36,704	18,726	HoneydewUltra	/bil/lz/boonee/fd9d4ef7f3ef3426						HoneydewUltra				49
20250630M210BICANRen40	UCI.5224.CX13.NAC	NAC	v2	1000 D2P2238	8.1	REN040	M210	6/17/2025	43937	359	170	75,444	38,492	HoneydewUltra	/bil/lz/boonee/fd9d4ef7f3ef3426						HoneydewUltra				49
20250704M211BICANRen41	UWA.7648.CX23.THM.02 (SubTH)	SubTH	v2	1000 D2P2238	5.2	REN041	M211	6/24/2025	22014	161	89	33,221	16,949	HoneydewUltra	/bil/lz/boonee/b90795aa8c16b4a1	* This is also region Subthalumus					HoneydewUltra				50
20250704M211BICANRen41	UCI.4723.CX18.SubTH	SubTH	v2	1000 D2P2238	3.3	REN041	M211	6/24/2025	10544	18	15	3,763	1,920	HoneydewUltra	/bil/lz/boonee/b90795aa8c16b4a1	This donor had a small amount of tissue on the slide (hence the low counts)					HoneydewUltra				50
20250704M211BICANRen41	UCI.2424.CX17.SubTH	SubTH	v2	1000 D2P2238	5.8	REN041	M211	6/24/2025	29076	19	16	9,170	4,678	HoneydewUltra	/bil/lz/boonee/b90795aa8c16b4a1						HoneydewUltra				50
20250704M211BICANRen41	UCI.5224.CX19.SubTH	SubTH	v2	1000 D2P2238	6.2	REN041	M211	6/24/2025	18483	103	67	27,317	13,937	HoneydewUltra	/bil/lz/boonee/b90795aa8c16b4a1						HoneydewUltra				50
20250707M212BICANRen42	UCI.4723.CX27.CaT	CaT	v2	1000 D2P2238	6.1	REN042	M212	06/24/2025	36493	104	67	30,058	15,336	HoneydewUltra	/bil/lz/boonee/28987301e254a890	There's just 3 donors for this region					HoneydewUltra				51
20250707M212BICANRen42	UCI.2424.CX21.CaT	CaT	v2	1000 D2P2238	n/a	REN042	M212	06/24/2025	25547	69	48	18,693	9,537	HoneydewUltra	/bil/lz/boonee/28987301e254a890	There's just 3 donors for this region					HoneydewUltra				51
20250707M212BICANRen42	UCI.5224.CX21.CaT	CaT	v2	1000 D2P2238	6.9	REN042	M212	06/24/2025	14288	262	132	31,773	16,211	HoneydewUltra	/bil/lz/boonee/28987301e254a890	There's just 3 donors for this region					HoneydewUltra				51
20250718M213BICANRen43	UWA.7648.CX04.A10	A10	v2	1000 D2M2006	7.5	REN043	M213	07/08/2025	31425	256	141	52,463	26,767	HoneydewUltra	/bil/lz/boonee/cbc115888278870a						HoneydewUltra				52
20250718M213BICANRen43	UCI.4723.CX01.A10	A10	v2	1000 D2M2006	7.4	REN043	M213	07/08/2025	51433	43	29	28,494	14,538	HoneydewUltra	/bil/lz/boonee/cbc115888278870a						HoneydewUltra				52
20250718M213BICANRen43	UCI.2424.CX02.A10	A10	v2	1000 D2M2006	7	REN043	M213	07/08/2025	21219	259	140	52,832	26,955	HoneydewUltra	/bil/lz/boonee/cbc115888278870a						HoneydewUltra				52
20250718M213BICANRen43	UCI.5224.CX03.A10	A10	v2	1000 D2M2006	7.4	REN043	M213	07/08/2025	48083	350	174	91,494	46,681	HoneydewUltra	/bil/lz/boonee/cbc115888278870a						HoneydewUltra				52
20250718M214BICANRen44	UWA.7648.CX17.A44	A44	v2	1000 D2M2006	6.9	REN044	M214	07/10/2025	33369	245	134	51,015	26,028	WatermelonUltra	/bil/lz/boonee/e8ec554ed859f81c						WatermelonUltra				53
20250718M214BICANRen44	UCI.4723.CX13.A44	A44	v2	1000 D2M2006	6.2	REN044	M214	07/10/2025	22616	175	105	35,668	18,198	WatermelonUltra	/bil/lz/boonee/e8ec554ed859f81c						WatermelonUltra				53
20250718M214BICANRen44	UCI.2424.CX11.A44	A44	v2	1000 D2M2006	6.8	REN044	M214	07/10/2025	18197	175	104	36,820	18,785	WatermelonUltra	/bil/lz/boonee/e8ec554ed859f81c						WatermelonUltra				53
20250718M214BICANRen44	UCI.5224.CX13.A44	A44	v2	1000 D2M2006	8.1	REN044	M214	07/10/2025	34430	204	118	56,583	28,869	WatermelonUltra	/bil/lz/boonee/e8ec554ed859f81c						WatermelonUltra				53
20250725M216BICANRen45	UWA.7648.CX17.A25	A25	v2	1000 D2M2006	6.6	REN045	M216	07/14/2025	31942	78	54	31,765	16,207	HoneydewUltra	/bil/lz/boonee/7803f72b8ec79e5e	Jesus imaged					HoneydewUltra				54
20250725M216BICANRen45	UCI.4723.CX14.A25	A25	v2	1000 D2M2006	7.6	REN045	M216	7/14/2025	15029	114	77	37,062	18,909	HoneydewUltra	/bil/lz/boonee/7803f72b8ec79e5e						HoneydewUltra				54
20250725M216BICANRen45	UCI.2424.CX12.A25	A25	v2	1000 D2M2006	5.8	REN045	M216	7/14/2025	38090	60	46	37,801	19,286	HoneydewUltra	/bil/lz/boonee/7803f72b8ec79e5e						HoneydewUltra				54
20250725M216BICANRen45	UCI.5224.CX13.A25	A25	v2	1000 D2M2006	7.2	REN045	M216	7/14/2025	32500	158	97	47,675	24,324	HoneydewUltra	/bil/lz/boonee/7803f72b8ec79e5e						HoneydewUltra				54
20250725M217BICANRen46	UWA.7648.CX14.A45	A45	v2	1000 D2M2006	8.5	REN046	M217	7/17/2025	38632	262	140	75,758	38,652	WatermelonUltra	/bil/lz/boonee/b31c67ad954bd0cc	Jesus imaged					WatermelonUltra				55
20250725M217BICANRen46	UCI.4723.CX11.A45	A45	v2	1000 D2M2006	7.2	REN046	M217	7/17/2025	48332	101	69	51,313	26,180	WatermelonUltra	/bil/lz/boonee/b31c67ad954bd0cc						WatermelonUltra				55
20250725M217BICANRen46	UCI.2424.CX09.A45	A45	v2	1000 D2M2006	6.9	REN046	M217	7/17/2025	54770	137	87	44,284	22,594	WatermelonUltra	/bil/lz/boonee/b31c67ad954bd0cc						WatermelonUltra				55
20250725M217BICANRen46	UCI.5224.CX11.A45	A45	v2	1000 D2M2006	8.2	REN046	M217	7/17/2025	34005	198	117	64,290	32,801	WatermelonUltra	/bil/lz/boonee/b31c67ad954bd0cc						WatermelonUltra				55
20250801M219BICANRen47	UWA.7648.CX17.A38	A38	v2	1000 D2M2006	6.9	REN047	M219	7/22/2025	36586	199	118	44,716	22,814	HoneydewUltra	/bil/lz/boonee/1a0c877975b85ee6						HoneydewUltra				56
20250801M219BICANRen47	UCI.4723.CX13.A38	A38	v2	1000 D2M2006	6.7	REN047	M219	7/22/2025	10225	164	103	23,459	11,969	HoneydewUltra	/bil/lz/boonee/1a0c877975b85ee6	Not a lot of tissue detachment, this was just how the tissue was sectioned onto slide					HoneydewUltra				56
20250801M219BICANRen47	UCI.2424.CX11.A38	A38	v2	1000 D2M2006	6.1	REN047	M219	7/22/2025	22324	154	96	27,266	13,911	HoneydewUltra	/bil/lz/boonee/1a0c877975b85ee6						HoneydewUltra				56
20250801M219BICANRen47	UCI.5224.CX11.A38	A38	v2	1000 D2M2006	7.6	REN047	M219	7/22/2025	31692	184	110	42,818	21,846	HoneydewUltra	/bil/lz/boonee/1a0c877975b85ee6						HoneydewUltra				56
20250801M220BICANRen48	UWA.7648.CX25.S1C	S1C	v2	1000 D2M2006	6.9	REN048	M220	7/24/2025	24046	101	68	29,346	14,972	WatermelonUltra	/bil/lz/boonee/ebddeafebd6f32bc 						WatermelonUltra				57
20250801M220BICANRen48	UCI.4723.CX20.S1C	S1C	v2	1000 D2M2006	6.7	REN048	M220	7/24/2025	44275	59	44	22,489	11,474	WatermelonUltra	/bil/lz/boonee/ebddeafebd6f32bc 						WatermelonUltra				57
20250801M220BICANRen48	UCI.2424.CX20.S1C	S1C	v2	1000 D2M2006	6.1	REN048	M220	7/24/2025	44633	53	40	16,268	8,300	WatermelonUltra	/bil/lz/boonee/ebddeafebd6f32bc 						WatermelonUltra				57
20250801M220BICANRen48	UCI.5224.CX20.S1C	S1C	v2	1000 D2M2006	7.6	REN048	M220	7/24/2025	25842	76	54	26,069	13,300	WatermelonUltra	/bil/lz/boonee/ebddeafebd6f32bc 						WatermelonUltra				57
20250808M222BICANRen49	UWA.7648.CX29.A5	A5	v2	1000 D2M2006	7.7	REN049	M222	7/30/2025	50573	170	102	44,568	22,739	HoneydewUltra	/bil/lz/boonee/cef1f464b4727f9e						HoneydewUltra				58
20250808M222BICANRen49	UCI.4723.CX28.A5	A5	v2	1000 D2M2006	5.6	REN049	M222	7/30/2025	38786	53	39	26,010	13,270	HoneydewUltra	/bil/lz/boonee/cef1f464b4727f9e						HoneydewUltra				58
20250808M222BICANRen49	UCI.2424.CX24.A5	A5	v2	1000 D2M2006	5.3	REN049	M222	7/30/2025	53028	47	37	20,307	10,361	HoneydewUltra	/bil/lz/boonee/cef1f464b4727f9e						HoneydewUltra				58
20250808M222BICANRen49	UCI.5224.CX23.A5	A5	v2	1000 D2M2006	7.7	REN049	M222	7/30/2025	68495	58	44	38,124	19,451	HoneydewUltra	/bil/lz/boonee/cef1f464b4727f9e						HoneydewUltra				58
20250811M223BICANRen50	UWA.7648.CX34.A7	A7	v2	1000 D2M2006	7.2	REN050	M223	7/31/2025	44358	112	74	26,848	13,698	WatermelonUltra	/bil/lz/boonee/7028242157a8f304	Camera/low res mosaic looked weird?					WatermelonUltra				59
20250811M223BICANRen50	UCI.4723.CX34.A7	A7	v2	1000 D2M2006	5.9	REN050	M223	7/31/2025	44381	64	46	18,489	9,433	WatermelonUltra	/bil/lz/boonee/7028242157a8f304						WatermelonUltra				59
20250811M223BICANRen50	UCI.2424.CX26.A7	A7	v2	1000 D2M2006	5.5	REN050	M223	7/31/2025	47498	81	57	19,478	9,938	WatermelonUltra	/bil/lz/boonee/7028242157a8f304						WatermelonUltra				59
20250811M223BICANRen50	UCI.5224.CX29.A7	A7	v2	1000 D2M2006	7.7	REN050	M223	7/31/2025	42424	123	81	33,578	17,131	WatermelonUltra	/bil/lz/boonee/7028242157a8f304						WatermelonUltra				59
20250815M224BICANRen51	UWA.7648.CX22.ITC	ITC	v2	1000 D2M2006	7.4	REN051	M224	8/7/2025	46471	223	126	54,982	28,052	HoneydewUltra	/bil/lz/boonee/2187bf86deb49a81						HoneydewUltra				60
20250815M224BICANRen51	UCI.4723.CX15.ITC	ITC	v2	1000 D2M2006	7.0	REN051	M224	8/7/2025	39778	46	35	24,615	12,559	HoneydewUltra	/bil/lz/boonee/2187bf86deb49a81						HoneydewUltra				60
20250815M224BICANRen51	UCI.2424.CX14.ITC	ITC	v2	1000 D2M2006	5.9	REN051	M224	8/7/2025	27827	66	50	23,875	12,181	HoneydewUltra	/bil/lz/boonee/2187bf86deb49a81						HoneydewUltra				60
20250815M224BICANRen51	UCI.5224.CX16.ITC	ITC	v2	1000 D2M2006	7.8	REN051	M224	8/7/2025	33507	129	86	43,530	22,209	HoneydewUltra	/bil/lz/boonee/2187bf86deb49a81						HoneydewUltra				60
20250816M225BICANRen52	UWA.7648.CX24.A1C	A1C	v2	1000 D2M2006	7.3	REN052	M225	8/5/2025	36347	121	77	24,278	12,387	WatermelonUltra	/bil/lz/boonee/c6d2e6359cf9ae32						WatermelonUltra				61
20250816M225BICANRen52	UCI.4723.CX22.A1C	A1C	v2	1000 D2M2006	6.2	REN052	M225	8/5/2025	27172	100	66	16,866	8,605	WatermelonUltra	/bil/lz/boonee/c6d2e6359cf9ae32						WatermelonUltra				61
20250816M225BICANRen52	UCI.2424.CX19.A1C	A1C	v2	1000 D2M2006	5.7	REN052	M225	8/5/2025	31267	48	36	9,254	4,721	WatermelonUltra	/bil/lz/boonee/c6d2e6359cf9ae32						WatermelonUltra				61
20250816M225BICANRen52	UCI.5224.CX20.A1C	A1C	v2	1000 D2M2006	8.2	REN052	M225	8/5/2025	38567	98	67	26,350	13,444	WatermelonUltra	/bil/lz/boonee/c6d2e6359cf9ae32						WatermelonUltra				61
20250822M226BICANRen53	UWA.7648.CX31.PPHC	PPHC	v2	1000 D2M2006	6.7	REN053	M226	8/12/2025	32573	241	129	49,729	25,372	HoneydewUltra	/bil/lz/boonee/c4ec04d28059515b	Jesus imaged					HoneydewUltra				62
20250822M226BICANRen53	UCI.4723.CX27.PPHC	PPHC	v2	1000 D2M2006	6.6	REN053	M226	8/12/2025	33086	78	57	34,549	17,627	HoneydewUltra	/bil/lz/boonee/c4ec04d28059515b						HoneydewUltra				62
20250822M226BICANRen53	UCI.2424.CX24.PPHC	PPHC	v2	1000 D2M2006	5.4	REN053	M226	8/12/2025	32029	55	42	26,024	13,277	HoneydewUltra	/bil/lz/boonee/c4ec04d28059515b						HoneydewUltra				62
20250822M226BICANRen53	UCI.5224.CX24.PPHC	PPHC	v2	1000 D2M2006	7.1	REN053	M226	8/12/2025	30926	293	156	67,930	34,658	HoneydewUltra	/bil/lz/boonee/c4ec04d28059515b						HoneydewUltra				62
20250822M227BICANRen54	UWA.7648.CX18.Idg	Idg	v2	1000 D2M2006	7.9	REN054	M227	8/14/2025	22962	114	76	39,076	19,937	WatermelonUltra	/bil/lz/boonee/d8b5f8cb0d968734	Jesus imaged					HoneydewUltra				63
20250822M227BICANRen54	UCI.4723.CX15.Idg	Idg	v2	1000 D2M2006	6.2	REN054	M227	8/14/2025	40654	48	36	17,891	9,128	WatermelonUltra	/bil/lz/boonee/d8b5f8cb0d968734						HoneydewUltra				63
20250822M227BICANRen54	UCI.2424.CX13.Idg	Idg	v2	1000 D2M2006	6.8	REN054	M227	8/14/2025	35055	70	51	28,533	14,558	WatermelonUltra	/bil/lz/boonee/d8b5f8cb0d968734						HoneydewUltra				63
20250822M227BICANRen54	UCI.5224.CX14.Idg	Idg	v2	1000 D2M2006	7.6	REN054	M227	8/14/2025	19278	151	96	45,611	23,271	WatermelonUltra	/bil/lz/boonee/d8b5f8cb0d968734						HoneydewUltra				63
20250829M229BICANRen55	UWA.7648.CX26.Ig	Ig	v2	1000 D2M2006	7.7	REN055	M229	8/19/2025	13361	156	97	24,606	12,554	HoneydewUltra	/bil/lz/boonee/a6472efb0d7eaa2a	Jesus sample prepped, Zoey imaged					HoneydewUltra				64
20250829M229BICANRen55	UCI.4723.CX21.Ig	Ig	v2	1000 D2M2006	6.0	REN055	M229	8/19/2025	21893	129	82	22,302	11,378	HoneydewUltra	/bil/lz/boonee/a6472efb0d7eaa2a						HoneydewUltra				64
20250829M229BICANRen55	UCI.2424.CX19.Ig	Ig	v2	1000 D2M2006	4.7	REN055	M229	8/19/2025	36904	47	38	15,662	7,991	HoneydewUltra	/bil/lz/boonee/a6472efb0d7eaa2a						HoneydewUltra				64
20250829M229BICANRen55	UCI.5224.CX19.Ig	Ig	v2	1000 D2M2006	8.3	REN055	M229	8/19/2025	19410	267	146	46,029	23,484	HoneydewUltra	/bil/lz/boonee/a6472efb0d7eaa2a						HoneydewUltra				64
20250902M230BICANRen56	UWA.7648.CX35.Pro	Pro	v2	1000 D2M2006	7.4	REN056	M230	8/21/2025	30189	248	137	39,798	20,305	HoneydewUltra	/bil/lz/boonee/d8b5f8cb0d968734	Jesus sample prepped, Zoey imaged					HoneydewUltra				65
20250902M230BICANRen56	UCI.4723.CX35.Pro	Pro	v2	1000 D2M2006	5.3	REN056	M230	8/21/2025	18931	88	63	12,232	6,241	HoneydewUltra	/bil/lz/boonee/d8b5f8cb0d968734						HoneydewUltra				65
20250902M230BICANRen56	UCI.2424.CX27.Pro	Pro	v2	1000 D2M2006	N/A	REN056	M230	8/21/2025	25189	76	57	10,680	5,449	HoneydewUltra	/bil/lz/boonee/d8b5f8cb0d968734						HoneydewUltra				65
20250902M230BICANRen56	UCI.5224.CX30.Pro	Pro	v2	1000 D2M2006	7.7	REN056	M230	8/21/2025	39376	312	163	65,545	33,441	HoneydewUltra	/bil/lz/boonee/d8b5f8cb0d968734						HoneydewUltra				65
20250908M231BICANRen57	UWA.7648.CX41.PSC.01	PSC.01	v2	1000 D2M2006	7.3	REN057	M231	8/28/2025	35352	266	142	57,978	29,581	HoneydewUltra	/bil/lz/boonee/d5a3647a63a86c37						HoneydewUltra				66
20250908M231BICANRen57	UCI.4723.CX41.PSC.01	PSC.01	v2	1000 D2M2006	5.8	REN057	M231	8/28/2025	32745	183	104	42,852	21,863	HoneydewUltra	/bil/lz/boonee/d5a3647a63a86c37						HoneydewUltra				66
20250908M231BICANRen57	UCI.2424.CX32.PSC.01	PSC.01	v2	1000 D2M2006	4.5	REN057	M231	8/28/2025	32695	139	88	31,772	16,210	HoneydewUltra	/bil/lz/boonee/d5a3647a63a86c37						HoneydewUltra				66
20250908M231BICANRen57	UCI.5224.CX35.PSC.01	PSC.01	v2	1000 D2M2006	7.8	REN057	M231	8/28/2025	38498	339	168	75,203	38,369	HoneydewUltra	/bil/lz/boonee/d5a3647a63a86c37						HoneydewUltra				66
20250908M232BICANRen58	UWA.7648.CX42.V2.01	V2	v2	1000 D2M2006	6.5	REN058	M232	8/26/2025	23329	87	61	17,407	8,881	WatermelonUltra	/bil/lz/boonee/05f546ff48019618						WatermelonUltra				67
20250908M232BICANRen58	UCI.4723.CX42.V2	V2	v2	1000 D2M2006	4.8	REN058	M232	8/26/2025	13217	87	60	14,730	7,515	WatermelonUltra	/bil/lz/boonee/05f546ff48019618						WatermelonUltra				67
20250908M232BICANRen58	UCI.2424.CX28.V2.01	V2	v2	1000 D2M2006	N/A	REN058	M232	8/26/2025	14950	54	40	10,071	5,138	WatermelonUltra	/bil/lz/boonee/05f546ff48019618						WatermelonUltra				67
20250908M232BICANRen58	UCI.5224.CX35.V2.01	V2	v2	1000 D2M2006	7.8	REN058	M232	8/26/2025	15502	149	93	33,191	16,934	WatermelonUltra	/bil/lz/boonee/05f546ff48019618						WatermelonUltra				67
20250912M233BICANRen59	UWA.7648.CX41.PSC.02	PSC.02	v2	1000 D2M2006	6.5	REN059	M233	9/2/2025	25380	199.5	114	39,619	20,214	HoneydewUltra	/bil/lz/boonee/d5a3647a63a86c37						HoneydewUltra				68
20250912M233BICANRen59	UCI.4723.CX41.PSC.02	PSC.02	v2	1000 D2M2006	5.1	REN059	M233	9/2/2025	59209	80	56	27,947	14,258	HoneydewUltra	/bil/lz/boonee/d5a3647a63a86c37						HoneydewUltra				68
20250912M233BICANRen59	UCI.2424.CX28.PSC.02	PSC.02	v2	1000 D2M2006	5.3	REN059	M233	9/2/2025	35816	38	30	15,324	7,818	HoneydewUltra	/bil/lz/boonee/d5a3647a63a86c37						HoneydewUltra				68
20250912M233BICANRen59	UCI.5224.CX35.PSC.02	PSC.02	v2	1000 D2M2006	7.7	REN059	M233	9/2/2025	26245	105	73	35,471	18,097	HoneydewUltra	/bil/lz/boonee/d5a3647a63a86c37						HoneydewUltra				68
20251010M242BICANRen60	UWA.7648.CX21.EC	EC (LEC)	v2	1000 D2P2484	6.3	REN060	M242	10/2/2025	38803	91	63	27,216	13,886	WatermelonUltra	/bil/lz/boonee/fcff18d3dc30ea32						WatermelonUltra				69
20251010M242BICANRen60	UCI.4723.CX18.EC	EC (LEC)	v2	1000 D2P2484	6.3	REN060	M242	10/2/2025	19712	100	65	28,540	14,561	WatermelonUltra	/bil/lz/boonee/fcff18d3dc30ea32						WatermelonUltra				69
20251010M242BICANRen60	UCI.2424.CX15.EC	EC (LEC)	v2	1000 D2P2484	5.5	REN060	M242	10/2/2025	25723	73	53	23,642	12,062	WatermelonUltra	/bil/lz/boonee/fcff18d3dc30ea32						WatermelonUltra				69
20251010M242BICANRen60	UCI.5224.CX18.EC	EC (LEC)	v2	1000 D2P2484	7.8	REN060	M242	10/2/2025	11587	142	90	37,577	19,172	WatermelonUltra	/bil/lz/boonee/fcff18d3dc30ea32						WatermelonUltra				69
20251017M246BICANRen61	UWA.7648.CX26.HIPr	HIPr	v2	1000 D2P2484	6.8	REN061	M246	10/13/2025	30487	104	68	27,652	14,108	WatermelonUltra	/bil/lz/boonee/b02df93c66e9616b										70
20251017M246BICANRen61	UCI.4723.CX22.HIPr	HIPr	v2	1000 D2P2484	N/A	REN061	M246	10/13/2025	47995	80	54	23,378	11,928	WatermelonUltra	/bil/lz/boonee/b02df93c66e9616b										70
20251017M246BICANRen61	UCI.2424.CX18.HIPr	HIPr	v2	1000 D2P2484	4.6	REN061	M246	10/13/2025	21910	30	24	9,622	4,909	WatermelonUltra	/bil/lz/boonee/b02df93c66e9616b										70
20251017M246BICANRen61	UCI.5224.CX19.HIPr	HIPr	v2	1000 D2P2484	8.2	REN061	M246	10/13/2025	36457	146	87	36,822	18,787	WatermelonUltra	/bil/lz/boonee/b02df93c66e9616b										70
20251031M249BICANRen62	UWA.7648.CX26.EC	MEC	v2	1000 D2P2484	6.4	REN062	M249	10/27/2025	32264	139	90	42,193	21,527	WatermelonUltra	/bil/lz/boonee/a78d06f989a232c7						merfish14				71
20251031M249BICANRen62	UCI.4723.CX22.EC	MEC	v2	1000 D2P2484	6.4	REN062	M249	10/27/2025	50515	96	63	40,608	20,719	WatermelonUltra	/bil/lz/boonee/a78d06f989a232c7						merfish14				71
20251031M249BICANRen62	UCI.2424.CX18.EC	MEC	v2	1000 D2P2484	5.2	REN062	M249	10/27/2025	22544	43	34	14,051	7,169	WatermelonUltra	/bil/lz/boonee/a78d06f989a232c7						merfish14				71
20251031M249BICANRen62	UCI.5224.CX20.EC	MEC	v2	1000 D2P2484	8.2	REN062	M249	10/27/2025	21788	234	130	56,601	28,878	WatermelonUltra	/bil/lz/boonee/a78d06f989a232c7						merfish14				71
20251110M253BICANRen63	UWA.7648.CX28.HIPc	HIPc	v2	1000 D2P2484	6.7	REN063	M253	10/28/2025	34447	171	99	53,365	27,227	HoneydewUltra	/bil/lz/boonee/cf8cb544b9993054										72
20251110M253BICANRen63	UCI.4723.CX25.HIPc	HIPc	v2	1000 D2P2484	n/a	REN063	M253	10/28/2025	51357	84	57	36,485	18,615	HoneydewUltra	/bil/lz/boonee/cf8cb544b9993054										72
20251110M253BICANRen63	UCI.2424.CX24.HIPc	HIPc	v2	1000 D2P2484	5.9	REN063	M253	10/28/2025	44489	119	76	35,392	18,057	HoneydewUltra	/bil/lz/boonee/cf8cb544b9993054										72
20251110M253BICANRen63	UCI.5224.CX24.HIPc	HIPc	v2	1000 D2P2484	7.1	REN063	M253	10/28/2025	36173	181	104	49,027	25,014	HoneydewUltra	/bil/lz/boonee/cf8cb544b9993054										72
20251107M251BICANRen64	UWA.7648.CX24.HIPu	HIPu	v2	1000 D2P2484	5.8	REN064	M251	10/30/2025	31539	175	101	42,213	21,537	HoneydewUltra	/bil/lz/boonee/556da1735c979070										73
20251107M251BICANRen64	UCI.4723.CX18.HIPu	HIPu	v2	1000 D2P2484	5.5	REN064	M251	10/30/2025	12595	109	71	31,242	15,940	HoneydewUltra	/bil/lz/boonee/556da1735c979070										73
20251107M251BICANRen64	UCI.2424.CX18.HIPu	HIPu	v2	1000 D2P2484	4.8	REN064	M251	10/30/2025	24805	46	35	15,297	7,804	HoneydewUltra	/bil/lz/boonee/556da1735c979070										73
20251107M251BICANRen64	UCI.5224.CX19.HIPu	HIPu	v2	1000 D2P2484	8.2	REN064	M251	10/30/2025	37549	221	121	45,730	23,332	HoneydewUltra	/bil/lz/boonee/556da1735c979070										73
20251114M254BICANRen65	UWA.7648.CX24.PaS-PrS	PaS-PrS	v2	1000 D2P2484	6.6	REN065	M254	11/4/2025	40,931	116	77	40,375	20,599	HoneydewUltra	/bil/lz/boonee/b362da27a8794ce6										74
20251114M254BICANRen65	UCI.4723.CX24.PaS-PrS	PaS-PrS	v2	1000 D2P2484	6.6	REN065	M254	11/4/2025	29,813	78	54	33,445	17,064	HoneydewUltra	/bil/lz/boonee/b362da27a8794ce6										74
20251114M254BICANRen65	UCI.2424.CX19.PaS-PrS	PaS-PrS	v2	1000 D2P2484	4.7	REN065	M254	11/4/2025	25,186	54	41	20,703	10,563	HoneydewUltra	/bil/lz/boonee/b362da27a8794ce6										74
20251114M254BICANRen65	UCI.5224.CX22.PaS-PrS	PaS-PrS	v2	1000 D2P2484	7.3	REN065	M254	11/4/2025	19,084	161	100	53,374	27,231	HoneydewUltra	/bil/lz/boonee/b362da27a8794ce6										74
20251114M255BICANRen66	UCI.2424.CX19.SUBr	SUBr	v2	1000 D2P2484	4.7	REN066	M255	11/6/2025				13,568	6,922	WatermelonUltra	/bil/lz/boonee/bbbed7820762e89d	Only 2 donors for this region, DAPI looked really washed out/bright?									75
